rank	title	year	grades	director
124	恐怖直播	2013	8.8	金秉祐
125	爱在日落黄昏时	2004	8.8	理查德·林克莱特
126	唐伯虎点秋香	1993	8.6	李力持
127	萤火之森	2011	8.8	大森贵弘
128	幸福终点站	2004	8.8	史蒂文·斯皮尔伯格
129	超能陆战队	2014	8.6	唐·霍尔
130	借东西的小人阿莉埃蒂	2010	8.8	米林宏昌
131	风之谷	1984	8.8	宫崎骏
132	无人知晓	2004	9.1	是枝裕和
133	神偷奶爸	2010	8.6	皮艾尔·柯芬
134	上帝之城	2002	8.9	费尔南多·梅里尔斯
135	绿皮书	2018	8.9	彼得·法雷里
136	怪兽电力公司	2001	8.7	彼特·道格特
137	玩具总动员3	2010	8.8	李·昂克里奇
138	血战钢锯岭	2016	8.7	梅尔·吉布森
139	电锯惊魂	2004	8.7	詹姆斯·温
140	岁月神偷	2010	8.7	罗启锐
141	喜宴	1993	8.9	李安
142	七武士	1954	9.2	黑泽明
143	谍影重重3	2007	8.8	保罗·格林格拉斯
144	时空恋旅人	2013	8.7	理查德·柯蒂斯
145	英雄本色	1986	8.7	吴宇森
146	完美的世界	1993	9.1	克林特·伊斯特伍德
147	傲慢与偏见	2005	8.6	乔·怀特
148	疯狂原始人	2013	8.7	科克·德·米科
149	萤火虫之墓	1988	8.7	高畑勋
150	东邪西毒	1994	8.6	王家卫
151	教父3	1990	8.9	弗朗西斯·福特·科波拉
152	爆裂鼓手	2014	8.7	达米恩·查泽雷
153	真爱至上	2003	8.6	理查德·柯蒂斯
154	被解救的姜戈	2012	8.7	昆汀·塔伦蒂诺
155	心迷宫	2014	8.7	忻钰坤
156	纵横四海	1991	8.8	吴宇森
157	贫民窟的百万富翁	2008	8.6	丹尼·鲍尔
158	记忆碎片	2000	8.6	克里斯托弗·诺兰
159	黑天鹅	2010	8.5	达伦·阿罗诺夫斯基
160	三块广告牌	2017	8.7	马丁·麦克唐纳
161	荒蛮故事	2014	8.8	达米安·斯兹弗隆
162	达拉斯买家俱乐部	2013	8.8	让-马克·瓦雷
163	哪吒闹海	1979	9	严定宪
164	我是山姆	2001	8.9	杰茜·尼尔森
165	你的名字。	2016	8.4	新海诚
166	花样年华	2000	8.6	王家卫
167	雨人	1988	8.7	巴瑞·莱文森
168	卢旺达饭店	2004	8.9	特瑞·乔治
169	天书奇谭	1983	9.2	王树忱
170	头号玩家	2018	8.7	史蒂文·斯皮尔伯格
171	头脑特工队	2015	8.7	彼特·道格特
172	你看起来好像很好吃	2010	8.8	藤森雅也
173	功夫	2004	8.5	周星驰
174	海边的曼彻斯特	2016	8.6	肯尼斯·罗纳根
175	无敌破坏王	2012	8.7	瑞奇·莫尔
176	未麻的部屋	1997	8.9	今敏
177	恋恋笔记本	2004	8.5	尼克·卡索维茨
178	忠犬八公物语	1987	9.1	Seijir?
179	冰川时代	2002	8.5	卡洛斯·沙尔丹哈
180	一个叫欧维的男人决定去死	2015	8.8	汉内斯·赫尔姆
181	模仿游戏	2014	8.6	莫滕·泰杜姆
182	二十二	2015	8.7	郭柯
183	虎口脱险	1966	8.9	杰拉尔·乌里
184	黑客帝国3：矩阵革命	2003	8.7	Andy
185	雨中曲	1952	9	斯坦利·多南
186	海洋	2009	9.1	雅克·贝汉
187	海街日记	2015	8.7	是枝裕和
188	人工智能	2001	8.6	史蒂文·斯皮尔伯格
189	房间	2015	8.8	伦尼·阿伯拉罕森
190	魔女宅急便	1989	8.6	宫崎骏
191	恐怖游轮	2009	8.4	克里斯托弗·史密斯
192	燃情岁月	1994	8.8	爱德华·兹威克
193	惊魂记	1960	8.9	阿尔弗雷德·希区柯克
194	穿越时空的少女	2006	8.6	细田守
195	罗生门	1950	8.8	黑泽明
196	魂断蓝桥	1940	8.8	茂文·勒鲁瓦
197	釜山行	2016	8.4	延尚昊
198	完美陌生人	2016	8.5	保罗·格诺维瑟
199	疯狂的石头	2006	8.4	宁浩
200	奇迹男孩	2017	8.6	斯蒂芬·卓博斯基
201	猜火车	1996	8.5	丹尼·博伊尔
202	终结者2：审判日	1991	8.7	詹姆斯·卡梅隆
203	人生果实	2017	9.6	伏原健之
204	阿飞正传	1990	8.5	王家卫
205	可可西里	2004	8.7	陆川
206	香水	2006	8.5	汤姆·提克威
207	初恋这件小事	2010	8.4	汤姆·提克威
208	牯岭街少年杀人事件	1991	8.8	杨德昌
209	新世界	2013	8.8	朴勋政
210	谍影重重2	2004	8.6	保罗·格林格拉斯
211	2001太空漫游	1968	8.8	斯坦利·库布里克
212	谍影重重	2002	8.6	道格·里曼
213	战争之王	2005	8.6	安德鲁·尼科尔
214	爱在午夜降临前	2013	8.8	理查德·林克莱特
215	地球上的星星	2007	8.9	阿米尔·汗
216	青蛇	1993	8.5	徐克
217	浪潮	2008	8.7	丹尼斯·甘塞尔
218	朗读者	2008	8.5	史蒂芬·戴德利
219	新龙门客栈	1992	8.6	李惠民
220	无耻混蛋	2009	8.5	Quentin
221	源代码	2011	8.4	邓肯·琼斯
222	绿里奇迹	1999	8.8	Frank
223	步履不停	2008	8.8	是枝裕和
224	哈利·波特与阿兹卡班的囚徒	2004	8.5	Alfonso
225	小萝莉的猴神大叔	2015	8.5	卡比尔·汗
226	血钻	2006	8.6	爱德华·兹威克
227	城市之光	1931	9.3	Charles
228	再次出发之纽约遇见你	2013	8.5	约翰·卡尼
229	彗星来的那一夜	2013	8.5	詹姆斯·沃德·布柯特
230	追随	1998	8.9	克里斯托弗·诺兰
231	疯狂的麦克斯4：狂暴之路	2015	8.6	乔治·米勒
232	哈利·波特与密室	2002	8.5	Chris
